"location_num","location_name","location_status","operator_num","operator_name","operator_type","co_owned_flag","projected_open_date","open_date","closed_date","location_category","concept_type","location_type","location_subtype","prototype","location_format","square_footage","prototype_square_footage","has_drive_thru","drive_thru_lanes","drive_thru_pickup_windows","kitchen_layout","parking_spaces","parking_spaces_handicap","has_dining_room","seating_total_original","address_line_1","address_line_2","address_line_3","city","county","state","country_name","country_code","zip_code","gps_latitude","gps_longitude","phone_number","price_group","distribution_center","dc_code","distributor","region","service_team_code","service_team","business_consultant","operations_lead","area_director","operator_team_code","operator_team","market_code","market","last_updated","filepath","insert_timestamp","load_date"
"02553",Security Square FSU,FUTURE,,,,,2022-11-17 00:00:00.000,,,Core,CFA,FSU,FSU,,Stand Alone,0.00,4989.00,Y,1,1,,0,0,N,0,"6965 Security Blvd",,,Baltimore,Baltimore,MD,United States,US,"21244","39.312415",-76.751345,,,,,,Northeast Region,N1,NE Region Team #1,Kevin Curtiss,Kevin Curtiss,Demetrius Ingram,BMSW,Baltimore Southwest,"512","Baltimore, MD",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"03112",Terminated Bartlesville FSU,NEVER OPENED,,,,,,,,Core,CFA,FSU,FSU,,Stand Alone,0.00,0.00,Y,1,1,,0,0,N,0,Outer Road and Frank Phillips Blvd.,,,Bartlesville,Washington,OK,United States,US,,"36.74937",-95.93612,,,,,,Southwest Region,S1,SW Region Team #1,Jerry Southerland,Jerry Southerland,Jodee Morgan,TULS,Tulsa,"671","Tulsa, OK",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"02150",Estero FSU - Terminated,NEVER OPENED,,,,,,,,Core,CFA,FSU,FSU,,Stand Alone,,,N,,,,,,N,,Corkscrew Road &,Three Oaks Parkway,,Estero,,FL,United States,US,,,,,,,,,,,,,,,,,,,2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"02869",Columbia (TN) FSU,OPEN,"11814",Caleb Mathis,OPR,N,2012-03-15 00:00:00.000,2012-03-15 00:00:00.000,,Core,CFA,FSU,FSU,,Stand Alone,4290.00,0.00,Y,2,1,Centerline,50,2,N,0,"605 S James Campbell Blvd",,,Columbia,Maury,TN,United States,US,"38401-4333","35.592628",-87.052409,"931/380-3939","23",CFA Supply-Cartersville GA DC 2,CAR2,CFA Supply,Atlantic Region,A1,AT Region Team #1,Blake Sundberg,Blake Sundberg,Amy Millard,NSHS,Nashville South,"659","Nashville, TN",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"03712",Norwalk FSU,OPEN,"18197",Archer Bullock,OPR,N,2017-10-19 00:00:00.000,2017-10-19 00:00:00.000,,Core,CFA,FSU,FSU,,Stand Alone,5104.00,0.00,Y,2,1,Centerline,,4,N,,"467 Connecticut Ave",,,Norwalk,Fairfield,CT,United States,US,"06854-1710","41.098811",-73.442169,"203/831-0196","36",FA-Boston MA,BOS,Food Authority of Massachusetts,Northeast Region,N2,NE Region Team #2,Brian Corbett,Brian Corbett,Scott Stover,CONS,Connecticut South,"501","New York, NY",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"04199",Highlands FSU,OPEN,"19983",Shawn Diamond,OPR,N,2020-02-27 00:00:00.000,2020-02-27 00:00:00.000,,Core,CFA,FSU,FSU,,Stand Alone,4872.00,0.00,Y,2,1,Dual Line,,2,N,,"110 Cabela Dr",,,Triadelphia,Ohio,WV,United States,US,"26059-1042","40.06207",-80.59799,"304/909-0843","24",MBM-Lockbourne OH,LOC,MCLANE COMPANY INC,Northeast Region,N2,NE Region Team #2,Kevin Elliott,Kevin Elliott,Scott Stover,PITS,Pittsburgh South,"554","Wheeling, WV-Steubenville, OH",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"04347",Terminated Timberlake FSU,NEVER OPENED,,,,,,,,Core,CFA,FSU,FSU,,Stand Alone,0.00,4996.00,N,0,,,0,0,N,0,"7916 Timberlake Rd",,,Lynchburg,Lynchburg (Ind City),VA,United States,US,"24502-2604","37.35091",-79.22842,,,QCD-Suffolk VA,SUF,Quality Custom Distribution,Atlantic Region,A2,AT Region Team #2,Chris Rocha,Chris Rocha,Kevin Malone,SVA2,Southern Virginia 2,"573","Roanoke-Lynchburg, VA",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"02600",Davie North FSU,OPEN,"09504",Felix Hodges,OPR,N,2010-10-21 00:00:00.000,2010-10-21 00:00:00.000,,Core,CFA,FSU,FSU,,Stand Alone,4287.00,0.00,Y,1,1,Dual Line Plus,62,0,N,100,"1900 S University Dr",,,Davie,Broward,FL,United States,US,"33324-5849","26.096077",-80.25012,"954/472-1123","21",QCD-Miami FL,MIA,Quality Custom Distribution,Southeast Region,E2,SE Region Team #2,Rosa Rodriguez,Rosa Rodriguez,Brent Townsend,SFL2,South Florida 2,"528","Miami-Ft. Lauderdale, FL",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"00298",Tampa Bay Center,CLOSED,"00001",Chris Walker,TMP,Y,1976-07-27 00:00:00.000,1976-07-27 00:00:00.000,2001-12-31 00:00:00.000,Core,CFA,MALL,MALL,,Food Court,,,N,,,,,,Y,,"3302 West Martin Luther King",,,Tampa,Hillsborough,FL,United States,US,"33607",,,"813/876-4774","7",,,,,,,,,,,,,,2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"01593",Paragon Place FSU,OPEN,"01301",Joe Miller,OPR,N,2004-08-26 00:00:00.000,2004-08-26 00:00:00.000,,Core,CFA,FSU,FSU,,Stand Alone,4357.00,0.00,Y,2,1,Centerline,67,0,N,0,"6282 Poplar Ave",,,Memphis,Shelby,TN,United States,US,"38119-4713","35.10131",-89.85326,"901/766-1875","23",McLane- Memphis TN,MEM,MCLANE COMPANY INC,Atlantic Region,A1,AT Region Team #1,Jack Kerr,Jack Kerr,Amy Millard,MEM3,Memphis 3,"640","Memphis, TN",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
